tag,n,m,cap_factor,corr,seed,brd_found_pne,brd_alpha,brd_time,initial_pne_welfare,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_welfare,so_status,so_welfare,so_time,pos
n30_m50_cf0.2_corrstrongly_correlated,30,50,0.2,strongly_correlated,159257,True,1.0,2.9530513286590576,209249.0,TIME_LIMIT,0.0013693261498798,212073.0,423,5190,600.1635053157806,211783.0,3.724492311477661,211783.0,OPTIMAL,212028.0,192.35611391067505,1.001156844505933
n30_m50_cf0.2_corruncorrelated,30,50,0.2,uncorrelated,157239,True,1.0,0.4188053607940674,323396.0,OPTIMAL,6.581865529625549e-05,349468.0,44,690,11.474160194396973,349445.0,0.6899359226226807,349445.0,OPTIMAL,349435.0,8.023118019104004,0.9999713831933494
n30_m50_cf0.2_corrweakly_correlated,30,50,0.2,weakly_correlated,158248,True,1.0,0.5863728523254395,170614.0,OPTIMAL,8.148204193997102e-05,171831.0,96,1410,59.66511225700378,171817.0,0.7855806350708008,171817.0,OPTIMAL,171813.0,50.721896171569824,0.9999767194165886
n30_m50_cf0.5_corrstrongly_correlated,30,50,0.5,strongly_correlated,162284,True,1.0,1.9591963291168213,421492.0,TIME_LIMIT,0.0003298425002052,460977.9999999996,72,1500,600.1850700378418,460826.0,2.267317056655884,460826.0,TIME_LIMIT,460847.0,600.1161754131317,1.0000455703454232
n30_m50_cf0.5_corruncorrelated,30,50,0.5,uncorrelated,160266,True,1.0,0.9978086948394777,450942.0,OPTIMAL,7.720769463762865e-05,505170.0,43,570,6.72165846824646,505131.0,1.312666416168213,505131.0,OPTIMAL,505137.0,1.588104009628296,1.0000118781068674
n30_m50_cf0.5_corrweakly_correlated,30,50,0.5,weakly_correlated,161275,True,1.0,1.847923755645752,391032.0,OPTIMAL,9.981464700264348e-05,407218.6423283373,125,1140,355.9674248695373,407178.0,2.357349395751953,407178.0,OPTIMAL,407194.0,38.38368892669678,1.0000392948538477
n35_m30_cf0.2_corrstrongly_correlated,35,30,0.2,strongly_correlated,56339,True,1.0,0.2339808940887451,144151.0,OPTIMAL,9.554683501109026e-05,146539.0,122,2030,25.51493763923645,146525.0,0.3514385223388671,146525.0,OPTIMAL,146523.0,14.326706886291504,0.9999863504521412
n35_m30_cf0.2_corruncorrelated,35,30,0.2,uncorrelated,54321,True,1.0,0.3182559013366699,233811.0,OPTIMAL,1.0650080672611196e-15,245946.00000000023,30,490,2.8024709224700928,245946.0,0.4546504020690917,245946.0,OPTIMAL,245946.0,1.1814424991607666,1.0
n35_m30_cf0.2_corrweakly_correlated,35,30,0.2,weakly_correlated,55330,True,1.0,0.2925465106964111,124914.0,OPTIMAL,9.57044646132742e-05,125398.0,20,840,10.360928297042848,125386.0,0.4377377033233641,125386.0,OPTIMAL,125386.0,5.069806098937988,1.0
n35_m30_cf0.5_corrstrongly_correlated,35,30,0.5,strongly_correlated,59366,True,1.0,0.235041856765747,305754.0,TIME_LIMIT,0.0005215254934785,318462.99999999773,152,2135,600.0814816951752,318297.0,0.3550217151641844,318297.0,TIME_LIMIT,318366.0,600.0073714256287,1.000216778668979
