seed,n,m,w,u,regular,brd_found_pne,brd_alpha,brd_time,zr_status,zr_gurobi_status,zr_mip_gap,zr_obj_bound,zr_runtime,zr_time,zr_eis_added_total,zr_eis_added_symmetric,zr_eis_added_core,zr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
0,4,2,11,24,TRUE,TRUE,1,0.02099824,OPTIMAL,2,0,22,0.043969393,0.064967632,0,0,0,0.03578949,22,OPTIMAL,22,0.091515541,1
0,4,2,11,25,TRUE,TRUE,1,0.038120747,OPTIMAL,2,0,22,0.068519592,0.106640339,0,0,0,0.058120966,22,OPTIMAL,22,0.084643364,1
0,4,2,12,24,TRUE,TRUE,1,0.010997772,OPTIMAL,2,0,24,0.032518864,0.043516636,0,0,0,0.025516033,24,OPTIMAL,24,0.021076441,1
0,4,2,12,25,TRUE,TRUE,1,0.034115791,OPTIMAL,2,0,24,0.029999733,0.064115524,0,0,0,0.042115688,24,OPTIMAL,24,0.075597525,1
0,4,2,12,26,TRUE,TRUE,1,0.026174545,OPTIMAL,2,0,24,0.032968044,0.05914259,0,0,0,0.034081459,24,OPTIMAL,24,0.07853508,1
0,4,2,12,27,TRUE,TRUE,1,0.027108192,OPTIMAL,2,0,24,0.039997578,0.06710577,0,0,0,0.041106224,24,OPTIMAL,24,0.101659536,1
0,4,2,13,26,TRUE,TRUE,1,0.019857168,OPTIMAL,2,0,26,0.04052639,0.060383558,0,0,0,0.030862808,26,OPTIMAL,26,0.026001215,1
0,4,2,13,27,TRUE,TRUE,1,0.039532185,OPTIMAL,2,0,26,0.035431862,0.074964046,0,0,0,0.046955585,26,OPTIMAL,26,0.06812501,1
0,4,2,13,28,TRUE,TRUE,1,0.023006439,OPTIMAL,2,0,26,0.033671379,0.056677818,0,0,0,0.030675888,26,OPTIMAL,26,0.098518133,1
0,4,2,13,29,TRUE,TRUE,1,0.033506632,OPTIMAL,2,0,26,0.038002491,0.071509123,0,0,0,0.042503595,26,OPTIMAL,26,0.103508472,1
0,4,2,14,28,TRUE,TRUE,1,0.015000343,OPTIMAL,2,0,28,0.055009842,0.070010185,0,0,0,0.030995607,28,OPTIMAL,28,0.034511089,1
0,4,2,14,29,TRUE,TRUE,1,0.041025639,OPTIMAL,2,0,28,0.039527893,0.080553532,0,0,0,0.053034544,28,OPTIMAL,28,0.067296982,1
0,4,2,14,30,TRUE,TRUE,1,0.02799964,OPTIMAL,2,0,28,0.042005539,0.070005178,0,0,0,0.035999775,28,OPTIMAL,28,0.089939833,1
0,4,2,14,31,TRUE,TRUE,1,0.02251792,OPTIMAL,2,0,28,0.040384769,0.062902689,0,0,0,0.030523062,28,OPTIMAL,28,0.115511894,1
0,4,2,15,31,TRUE,TRUE,1,0.009001017,OPTIMAL,2,0,30,0.041661263,0.050662279,0,0,0,0.019325972,30,OPTIMAL,30,0.122665167,1
0,4,2,15,32,TRUE,TRUE,1,0.030998945,OPTIMAL,2,0,30,0.042001963,0.073000908,0,0,0,0.041000843,30,OPTIMAL,30,0.108615398,1
0,4,2,15,33,TRUE,TRUE,1,0.033627748,OPTIMAL,2,0,30,0.063338518,0.096966267,0,0,0,0.041626215,30,OPTIMAL,30,0.143185377,1
0,4,3,4,6,TRUE,TRUE,1,0.017998219,OPTIMAL,2,0,12,0.02200532,0.040003538,0,0,0,0.028003931,12,OPTIMAL,12,0.029350758,1
0,4,3,4,7,TRUE,TRUE,1,0.017027378,OPTIMAL,2,0,12,0.023513556,0.040540934,0,0,0,0.027027369,12,OPTIMAL,12,0.025022507,1
0,4,3,5,7,TRUE,TRUE,1,0.019004583,OPTIMAL,2,0,15,0.022035599,0.041040182,0,0,0,0.027070522,15,OPTIMAL,15,0.031999826,1
0,4,3,5,8,TRUE,TRUE,1,0.02800703,OPTIMAL,2,0,15,0.037001133,0.065008163,0,0,0,0.038008451,15,OPTIMAL,15,0.04750824,1
0,4,3,5,9,TRUE,TRUE,1,0.043015242,OPTIMAL,2,0,15,0.037000656,0.080015898,0,0,0,0.055017948,15,OPTIMAL,15,0.076013565,1
0,4,3,6,8,TRUE,TRUE,1,0.012012243,OPTIMAL,2,0,18,0.024517775,0.036530018,0,0,0,0.020011425,18,OPTIMAL,18,0.036332846,1
0,4,3,6,9,TRUE,TRUE,1,0.040522575,OPTIMAL,2,0,18,0.026999235,0.067521811,0,0,0,0.049523592,18,OPTIMAL,18,0.049515486,1
0,4,3,6,10,TRUE,TRUE,1,0.030000448,OPTIMAL,2,0,18,0.029508591,0.059509039,0,0,0,0.039000511,18,OPTIMAL,18,0.118418932,1
0,4,3,6,11,TRUE,TRUE,1,0.031310558,OPTIMAL,2,0,18,0.03099966,0.062310219,0,0,0,0.040309906,18,OPTIMAL,18,0.065514088,1
0,4,3,7,10,TRUE,TRUE,1,0.019002438,OPTIMAL,2,0,21,0.043518066,0.062520504,0,0,0,0.033519983,21,OPTIMAL,21,0.050275326,1
0,4,3,7,11,TRUE,TRUE,1,0.037998438,OPTIMAL,2,0,21,0.038513899,0.076512337,0,0,0,0.050006866,21,OPTIMAL,21,0.060323954,1
0,4,3,7,12,TRUE,TRUE,1,0.029998779,OPTIMAL,2,0,21,0.043512583,0.073511362,0,0,0,0.040999413,21,OPTIMAL,21,0.063003302,1
0,4,3,7,13,TRUE,TRUE,1,0.028998375,OPTIMAL,2,0,21,0.031003952,0.060002327,0,0,0,0.038995266,21,OPTIMAL,21,0.08250761,1
0,4,3,8,11,TRUE,TRUE,1,0.013997555,OPTIMAL,2,0,24,0.037001371,0.050998926,0,0,0,0.020997763,24,OPTIMAL,24,0.053132057,1
0,4,3,8,12,TRUE,TRUE,1,0.049339056,OPTIMAL,2,0,24,0.058511972,0.107851028,0,0,0,0.061338186,24,OPTIMAL,24,0.054997444,1
0,4,3,8,13,TRUE,TRUE,1,0.028423071,OPTIMAL,2,0,24,0.020999908,0.049422979,0,0,0,0.037422895,24,OPTIMAL,24,0.078504801,1
0,4,3,8,14,TRUE,TRUE,1,0.025605917,OPTIMAL,2,0,24,0.023001671,0.048607588,0,0,0,0.035606861,24,OPTIMAL,24,0.165044546,1
0,4,3,9,12,TRUE,TRUE,1,0.014001608,OPTIMAL,2,0,27,0.042507172,0.05650878,0,0,0,0.022504807,27,OPTIMAL,27,0.022999763,1
0,4,3,9,13,TRUE,TRUE,1,0.036513329,OPTIMAL,2,0,27,0.058818579,0.095331907,0,0,0,0.048515081,27,OPTIMAL,27,0.096508503,1
0,4,3,9,14,TRUE,TRUE,1,0.027889967,OPTIMAL,2,0,27,0.043591738,0.071481705,0,0,0,0.043869972,27,OPTIMAL,27,0.173017502,1
0,4,3,9,15,TRUE,TRUE,1,0.024154425,OPTIMAL,2,0,27,0.023207426,0.047361851,0,0,0,0.034162998,27,OPTIMAL,27,0.070996284,1
0,4,3,10,14,TRUE,TRUE,1,0.024500608,OPTIMAL,2,0,30,0.052006483,0.076507092,0,0,0,0.035502911,30,OPTIMAL,30,0.05500102,1
0,4,3,10,15,TRUE,TRUE,1,0.046539068,OPTIMAL,2,0,30,0.035007715,0.081546783,0,0,0,0.05954051,30,OPTIMAL,30,0.073999405,1
0,4,3,10,16,TRUE,TRUE,1,0.031126261,OPTIMAL,2,0,30,0.025016785,0.056143045,0,0,0,0.042130947,30,OPTIMAL,30,0.121516466,1
0,4,3,10,17,TRUE,TRUE,1,0.040520191,OPTIMAL,2,0,30,0.038522959,0.07904315,0,0,0,0.063529253,30,OPTIMAL,30,0.06611681,1
0,4,3,11,15,TRUE,TRUE,1,0.026852131,OPTIMAL,2,0,33,0.050514221,0.077366352,0,0,0,0.035852194,33,OPTIMAL,33,0.064998865,1
0,4,3,11,16,TRUE,TRUE,1,0.028000116,OPTIMAL,2,0,33,0.025002003,0.053002119,0,0,0,0.0379951,33,OPTIMAL,33,0.066998005,1
0,4,3,11,17,TRUE,TRUE,1,0.037524939,OPTIMAL,2,0,33,0.034001112,0.071526051,0,0,0,0.047524452,33,OPTIMAL,33,0.075515985,1
0,4,3,11,18,TRUE,TRUE,1,0.022484541,OPTIMAL,2,0,33,0.032995701,0.055480242,0,0,0,0.035480499,33,OPTIMAL,33,0.074867487,1
0,4,3,12,16,TRUE,TRUE,1,0.009999037,OPTIMAL,2,0,36,0.046517611,0.056516647,0,0,0,0.01751709,36,OPTIMAL,36,0.032153368,1
0,4,3,12,17,TRUE,TRUE,1,0.035998821,OPTIMAL,2,0,36,0.027526617,0.063525438,0,0,0,0.04599905,36,OPTIMAL,36,0.086504698,1
0,4,3,12,18,TRUE,TRUE,1,0.03600359,OPTIMAL,2,0,36,0.033511877,0.069515467,0,0,0,0.04800868,36,OPTIMAL,36,0.066508293,1
0,4,3,12,19,TRUE,TRUE,1,0.017998457,OPTIMAL,2,0,36,0.036516905,0.054515362,0,0,0,0.029000998,36,OPTIMAL,36,0.108673096,1
0,4,3,13,18,TRUE,TRUE,1,0.049529076,OPTIMAL,2,0,39,0.029999018,0.079528093,0,0,0,0.06052804,39,OPTIMAL,39,0.073915958,1
0,4,3,13,19,TRUE,TRUE,1,0.041520596,OPTIMAL,2,0,39,0.045505762,0.087026358,0,0,0,0.052520752,39,OPTIMAL,39,0.16550827,1
0,4,3,13,20,TRUE,TRUE,1,0.056450844,OPTIMAL,2,0,39,0.036998987,0.093449831,0,0,0,0.067447901,39,OPTIMAL,39,0.096520901,1
0,4,3,13,21,TRUE,TRUE,1,0.047319174,OPTIMAL,2,0,39,0.067326307,0.114645481,0,0,0,0.073652983,39,OPTIMAL,39,0.12202549,1
0,4,3,14,19,TRUE,TRUE,1,0.036998987,OPTIMAL,2,0,42,0.033513784,0.070512772,0,0,0,0.044994354,42,OPTIMAL,42,0.074603796,1
0,4,3,14,20,TRUE,TRUE,1,0.048613787,OPTIMAL,2,0,42,0.050956011,0.099569798,0,0,0,0.061610222,42,OPTIMAL,42,0.109513998,1
0,4,3,14,21,TRUE,TRUE,1,0.057528019,OPTIMAL,2,0,42,0.070686102,0.128214121,0,0,0,0.078547239,42,OPTIMAL,42,0.154026747,1
0,4,3,14,22,TRUE,TRUE,1,0.034014463,OPTIMAL,2,0,42,0.066003323,0.100017786,0,0,0,0.047012806,42,OPTIMAL,42,0.14111948,1
0,4,3,15,20,TRUE,TRUE,1,0.009001255,OPTIMAL,2,0,45,0.029997349,0.038998604,0,0,0,0.016999006,45,OPTIMAL,45,0.034520149,1
0,4,3,15,21,TRUE,TRUE,1,0.050997734,OPTIMAL,2,0,45,0.05299902,0.103996754,0,0,0,0.069998503,45,OPTIMAL,45,0.137741804,1
0,4,3,15,22,TRUE,TRUE,1,0.022001266,OPTIMAL,2,0,45,0.081012011,0.103013277,0,0,0,0.037003517,45,OPTIMAL,45,0.158513546,1
0,4,3,15,23,TRUE,TRUE,1,0.051009417,OPTIMAL,2,0,45,0.0825212,0.133530617,0,0,0,0.076532125,45,OPTIMAL,45,0.116510868,1
0,4,4,4,4,TRUE,TRUE,1,0.006881714,OPTIMAL,2,0,16,0.015000582,0.021882296,0,0,0,0.013884544,16,OPTIMAL,16,0.012000084,1
0,4,4,4,5,TRUE,TRUE,1,0.023994446,OPTIMAL,2,0,16,0.0395329,0.063527346,0,0,0,0.03199482,16,OPTIMAL,16,0.034995556,1
0,4,4,5,5,TRUE,TRUE,1,0.016009808,OPTIMAL,2,0,20,0.02099967,0.037009478,0,0,0,0.023009539,20,OPTIMAL,20,0.0151999,1
0,4,4,5,6,TRUE,TRUE,1,0.043507814,OPTIMAL,2,0,20,0.039011478,0.082519293,0,0,0,0.057514191,20,OPTIMAL,20,0.039992094,1
0,4,4,6,6,TRUE,TRUE,1,0.006999016,OPTIMAL,2,0,24,0.024511099,0.031510115,0,0,0,0.014998913,24,OPTIMAL,24,0.022997618,1
0,4,4,6,7,TRUE,TRUE,1,0.031520605,OPTIMAL,2,0,24,0.027002573,0.058523178,0,0,0,0.039518833,24,OPTIMAL,24,0.097507954,1
0,4,4,7,7,TRUE,TRUE,1,0.011523485,OPTIMAL,2,0,28,0.026998758,0.038522243,0,0,0,0.019522429,28,OPTIMAL,28,0.016997099,1
0,4,4,7,8,TRUE,TRUE,1,0.031512737,OPTIMAL,2,0,28,0.030753851,0.062266588,0,0,0,0.042594433,28,OPTIMAL,28,0.041919708,1
0,4,4,7,9,TRUE,TRUE,1,0.038668394,OPTIMAL,2,0,28,0.032942057,0.071610451,0,0,0,0.047775269,28,OPTIMAL,28,0.065767288,1
