tag,so_status,so_cost,so_time
F_loose_asymmetric_n2_L5W5_s0,OPTIMAL,40.0,0.09402036666870117
F_loose_asymmetric_n2_L5W8_s0,OPTIMAL,16.0,0.5353009700775146
F_loose_asymmetric_n2_L8W10_s0,OPTIMAL,23.0,0.8609328269958496
F_loose_asymmetric_n2_L8W3_s0,OPTIMAL,53.0,0.11651086807250977
F_loose_asymmetric_n2_L8W5_s0,OPTIMAL,50.0,0.18182921409606934
F_loose_asymmetric_n2_L8W8_s0,OPTIMAL,26.0,0.7057967185974121
F_loose_asymmetric_n4_L10W10_s0,OPTIMAL,46.0,13.962080001831055
F_loose_asymmetric_n4_L10W3_s0,OPTIMAL,105.0,5.481364488601685
F_loose_asymmetric_n4_L10W5_s0,OPTIMAL,85.0,1.1735689640045166
F_loose_asymmetric_n4_L10W8_s0,OPTIMAL,51.0,4.195787668228149
F_loose_asymmetric_n4_L3W10_s0,OPTIMAL,23.0,0.7299139499664307
F_loose_asymmetric_n4_L3W3_s0,OPTIMAL,56.0,0.027001380920410156
F_loose_asymmetric_n4_L3W5_s0,OPTIMAL,68.0,0.16348862648010254
F_loose_asymmetric_n4_L3W8_s0,OPTIMAL,23.0,0.5735495090484619
F_loose_asymmetric_n4_L5W10_s0,OPTIMAL,32.0,1.8398456573486328
F_loose_asymmetric_n4_L5W3_s0,OPTIMAL,83.0,0.1470174789428711
F_loose_asymmetric_n4_L5W5_s0,OPTIMAL,86.0,0.4299032688140869
F_loose_asymmetric_n4_L5W8_s0,OPTIMAL,55.0,1.5514953136444092
F_loose_asymmetric_n4_L8W10_s0,OPTIMAL,55.0,17.31588864326477
F_loose_asymmetric_n4_L8W3_s0,OPTIMAL,77.0,0.6018276214599609
F_loose_asymmetric_n4_L8W5_s0,OPTIMAL,92.0,2.424642324447632
F_loose_asymmetric_n4_L8W8_s0,OPTIMAL,45.0,2.5962140560150146
F_loose_asymmetric_n6_L10W10_s0,OPTIMAL,52.0,71.16276407241821
F_loose_asymmetric_n6_L10W3_s0,OPTIMAL,120.0,3.724320650100708
F_loose_asymmetric_n6_L10W5_s0,OPTIMAL,101.0,11.840281009674072
F_loose_asymmetric_n6_L10W8_s0,OPTIMAL,76.0,74.80127000808716
F_loose_asymmetric_n6_L3W10_s0,OPTIMAL,60.0,1.2426908016204834
F_loose_asymmetric_n6_L3W3_s0,OPTIMAL,87.0,0.08194947242736816
F_loose_asymmetric_n6_L3W5_s0,OPTIMAL,56.0,0.4232621192932129
F_loose_asymmetric_n6_L3W8_s0,OPTIMAL,62.0,0.9031901359558105
F_loose_asymmetric_n6_L5W10_s0,OPTIMAL,69.0,5.671473026275635
F_loose_asymmetric_n6_L5W3_s0,OPTIMAL,88.0,0.4418349266052246
F_loose_asymmetric_n6_L5W5_s0,OPTIMAL,65.0,0.9751579761505127
F_loose_asymmetric_n6_L5W8_s0,OPTIMAL,61.0,3.6616382598876953
F_loose_asymmetric_n6_L8W10_s0,OPTIMAL,51.0,161.14436197280884
F_loose_asymmetric_n6_L8W3_s0,OPTIMAL,81.0,9.816855430603027
F_loose_asymmetric_n6_L8W5_s0,OPTIMAL,94.0,2.5215044021606445
F_loose_asymmetric_n6_L8W8_s0,OPTIMAL,65.0,33.27502632141113
F_loose_asymmetric_n8_L10W10_s0,OPTIMAL,63.0,483.9801332950592
F_loose_asymmetric_n8_L10W3_s0,OPTIMAL,125.0,43.83162021636963
F_loose_asymmetric_n8_L10W5_s0,OPTIMAL,116.0,107.27016711235046
F_loose_asymmetric_n8_L10W8_s0,FEASIBLE,96.0,1207.4205367565155
F_loose_asymmetric_n8_L3W10_s0,OPTIMAL,74.0,2.063372850418091
F_loose_asymmetric_n8_L3W3_s0,OPTIMAL,89.0,0.2115492820739746
F_loose_asymmetric_n8_L3W5_s0,OPTIMAL,72.0,0.9009344577789307
F_loose_asymmetric_n8_L3W8_s0,OPTIMAL,84.0,1.8605694770812988
F_loose_asymmetric_n8_L5W10_s0,OPTIMAL,73.0,12.528316497802734
F_loose_asymmetric_n8_L5W3_s0,OPTIMAL,79.0,0.7151017189025879
F_loose_asymmetric_n8_L5W5_s0,OPTIMAL,87.0,1.8481121063232422
F_loose_asymmetric_n8_L5W8_s0,OPTIMAL,73.0,6.417542457580566
F_loose_asymmetric_n8_L8W10_s0,OPTIMAL,70.0,269.76284289360046
F_loose_asymmetric_n8_L8W3_s0,OPTIMAL,69.0,1.5218758583068848
F_loose_asymmetric_n8_L8W5_s0,OPTIMAL,98.0,6.3397486209869385
F_loose_asymmetric_n8_L8W8_s0,OPTIMAL,71.0,13.075212240219116
