file,n,m,cap_factor,corr,replication,threads,br_threads,find_status,find_found,find_time,find_cuts,find_br_calls,find_first_pne_time
2-10-5-strongcorr-8.txt,2,10,0.5,strongly_correlated,8,1,1,FEASIBLE,True,0.045996665954589844,20,24,0.045996665954589844
2-10-5-strongcorr-9.txt,2,10,0.5,strongly_correlated,9,1,1,FEASIBLE,True,0.0299990177154541,13,16,0.0299990177154541
2-10-5-uncorr-0.txt,2,10,0.5,uncorrelated,0,1,1,FEASIBLE,True,0.024006128311157227,12,14,0.024006128311157227
2-10-5-uncorr-1.txt,2,10,0.5,uncorrelated,1,1,1,FEASIBLE,True,0.024059772491455078,12,14,0.024059772491455078
2-10-5-uncorr-2.txt,2,10,0.5,uncorrelated,2,1,1,FEASIBLE,True,0.021062135696411133,10,12,0.021062135696411133
2-10-5-uncorr-3.txt,2,10,0.5,uncorrelated,3,1,1,FEASIBLE,True,0.024007797241210938,11,14,0.024007797241210938
2-10-5-uncorr-4.txt,2,10,0.5,uncorrelated,4,1,1,FEASIBLE,True,0.02699875831604004,14,16,0.02699875831604004
2-10-5-uncorr-5.txt,2,10,0.5,uncorrelated,5,1,1,FEASIBLE,True,0.021008014678955078,10,12,0.021008014678955078
2-10-5-uncorr-6.txt,2,10,0.5,uncorrelated,6,1,1,FEASIBLE,True,0.04165244102478027,18,24,0.04165244102478027
2-10-5-uncorr-7.txt,2,10,0.5,uncorrelated,7,1,1,FEASIBLE,True,0.020998477935791016,10,12,0.020998477935791016
2-10-5-uncorr-8.txt,2,10,0.5,uncorrelated,8,1,1,FEASIBLE,True,0.03300833702087402,16,20,0.03300833702087402
2-10-5-uncorr-9.txt,2,10,0.5,uncorrelated,9,1,1,FEASIBLE,True,0.02351689338684082,11,14,0.02351689338684082
2-10-5-weakcorr-0.txt,2,10,0.5,weakly_correlated,0,1,1,FEASIBLE,True,0.03299975395202637,16,20,0.03299975395202637
2-10-5-weakcorr-1.txt,2,10,0.5,weakly_correlated,1,1,1,FEASIBLE,True,0.02700018882751465,13,16,0.02700018882751465
2-10-5-weakcorr-2.txt,2,10,0.5,weakly_correlated,2,1,1,FEASIBLE,True,0.02652740478515625,13,16,0.02652740478515625
2-10-5-weakcorr-3.txt,2,10,0.5,weakly_correlated,3,1,1,FEASIBLE,True,0.023000001907348633,11,14,0.023000001907348633
2-10-5-weakcorr-4.txt,2,10,0.5,weakly_correlated,4,1,1,FEASIBLE,True,0.024000167846679688,11,14,0.023001909255981445
2-10-5-weakcorr-5.txt,2,10,0.5,weakly_correlated,5,1,1,FEASIBLE,True,0.02766728401184082,13,16,0.02766728401184082
2-10-5-weakcorr-6.txt,2,10,0.5,weakly_correlated,6,1,1,FEASIBLE,True,0.0406491756439209,18,24,0.0406491756439209
2-10-5-weakcorr-7.txt,2,10,0.5,weakly_correlated,7,1,1,FEASIBLE,True,0.027022123336791992,13,16,0.027022123336791992
2-10-5-weakcorr-8.txt,2,10,0.5,weakly_correlated,8,1,1,FEASIBLE,True,0.02396416664123535,12,14,0.02396416664123535
2-10-5-weakcorr-9.txt,2,10,0.5,weakly_correlated,9,1,1,FEASIBLE,True,0.027791976928710938,12,16,0.027791976928710938
2-15-2-strongcorr-0.txt,2,15,0.2,strongly_correlated,0,1,1,FEASIBLE,True,0.020859718322753906,10,12,0.020859718322753906
2-15-2-strongcorr-1.txt,2,15,0.2,strongly_correlated,1,1,1,FEASIBLE,True,0.023996591567993164,12,14,0.023996591567993164
2-15-2-strongcorr-2.txt,2,15,0.2,strongly_correlated,2,1,1,FEASIBLE,True,0.025008440017700195,11,14,0.025008440017700195
2-15-2-strongcorr-3.txt,2,15,0.2,strongly_correlated,3,1,1,FEASIBLE,True,0.024766921997070312,12,14,0.024766921997070312
2-15-2-strongcorr-4.txt,2,15,0.2,strongly_correlated,4,1,1,FEASIBLE,True,0.03300166130065918,15,18,0.03300166130065918
2-15-2-strongcorr-5.txt,2,15,0.2,strongly_correlated,5,1,1,FEASIBLE,True,0.02799820899963379,12,16,0.026998519897460938
2-15-2-strongcorr-6.txt,2,15,0.2,strongly_correlated,6,1,1,FEASIBLE,True,0.02150106430053711,10,12,0.02150106430053711
2-15-2-strongcorr-7.txt,2,15,0.2,strongly_correlated,7,1,1,FEASIBLE,True,0.031112194061279297,15,18,0.031112194061279297
2-15-2-strongcorr-8.txt,2,15,0.2,strongly_correlated,8,1,1,FEASIBLE,True,0.025996685028076172,11,14,0.025996685028076172
2-15-2-strongcorr-9.txt,2,15,0.2,strongly_correlated,9,1,1,FEASIBLE,True,0.03599357604980469,16,20,0.03599357604980469
2-15-2-uncorr-0.txt,2,15,0.2,uncorrelated,0,1,1,FEASIBLE,True,0.02632594108581543,11,14,0.02632594108581543
2-15-2-uncorr-1.txt,2,15,0.2,uncorrelated,1,1,1,FEASIBLE,True,0.022000551223754883,10,12,0.022000551223754883
2-15-2-uncorr-2.txt,2,15,0.2,uncorrelated,2,1,1,FEASIBLE,True,0.028001785278320312,12,16,0.028001785278320312
2-15-2-uncorr-3.txt,2,15,0.2,uncorrelated,3,1,1,FEASIBLE,True,0.022001266479492188,10,12,0.022001266479492188
2-15-2-uncorr-4.txt,2,15,0.2,uncorrelated,4,1,1,FEASIBLE,True,0.020517826080322266,10,12,0.020517826080322266
2-15-2-uncorr-5.txt,2,15,0.2,uncorrelated,5,1,1,FEASIBLE,True,0.022000789642333984,10,12,0.022000789642333984
2-15-2-uncorr-6.txt,2,15,0.2,uncorrelated,6,1,1,FEASIBLE,True,0.025002241134643555,11,14,0.025002241134643555
2-15-2-uncorr-7.txt,2,15,0.2,uncorrelated,7,1,1,FEASIBLE,True,0.02499985694885254,11,14,0.02499985694885254
2-15-2-uncorr-8.txt,2,15,0.2,uncorrelated,8,1,1,FEASIBLE,True,0.024527549743652344,11,14,0.02352738380432129
2-15-2-uncorr-9.txt,2,15,0.2,uncorrelated,9,1,1,FEASIBLE,True,0.021997928619384766,10,12,0.021997928619384766
2-15-2-weakcorr-0.txt,2,15,0.2,weakly_correlated,0,1,1,FEASIBLE,True,0.02500128746032715,12,14,0.02500128746032715
2-15-2-weakcorr-1.txt,2,15,0.2,weakly_correlated,1,1,1,FEASIBLE,True,0.021998882293701172,10,12,0.021998882293701172
2-15-2-weakcorr-2.txt,2,15,0.2,weakly_correlated,2,1,1,FEASIBLE,True,0.028514623641967773,11,14,0.028514623641967773
2-15-2-weakcorr-3.txt,2,15,0.2,weakly_correlated,3,1,1,FEASIBLE,True,0.02547454833984375,12,14,0.02547454833984375
2-15-2-weakcorr-4.txt,2,15,0.2,weakly_correlated,4,1,1,FEASIBLE,True,0.02548050880432129,12,14,0.02548050880432129
2-15-2-weakcorr-5.txt,2,15,0.2,weakly_correlated,5,1,1,FEASIBLE,True,0.0250091552734375,12,14,0.0250091552734375
