file,n,m,cap_factor,corr,replication,find_status,find_found,find_time,find_cuts,find_br_calls,find_first_pne_time,brd_found_pne,brd_time,brd_alpha,opt_status,opt_time,opt_cuts,opt_mip_gap,best_pne_welfare,so_status,so_time,so_welfare,pos
2-10-2-weakcorr-0.txt,2,10,0.2,weakly_correlated,0,FEASIBLE,True,0.02555704116821289,12,14,0.02555704116821289,True,0.006509065628051758,1.0,OPTIMAL,0.01302790641784668,0,0.0,244.0,OPTIMAL,0.003998756408691406,244.0,1.0
2-10-2-weakcorr-1.txt,2,10,0.2,weakly_correlated,1,FEASIBLE,True,0.022032976150512695,10,12,0.022032976150512695,True,0.006337881088256836,1.0,OPTIMAL,0.010847091674804688,0,0.0,237.0,OPTIMAL,0.003011465072631836,237.0,1.0
2-10-2-weakcorr-2.txt,2,10,0.2,weakly_correlated,2,FEASIBLE,True,0.02603316307067871,11,14,0.02603316307067871,True,0.005509853363037109,1.0,OPTIMAL,0.011027097702026367,0,0.0,228.0,OPTIMAL,0.0029921531677246094,228.0,1.0
2-10-2-weakcorr-3.txt,2,10,0.2,weakly_correlated,3,FEASIBLE,True,0.022029399871826172,10,12,0.022029399871826172,True,0.006510734558105469,1.0,OPTIMAL,0.013550758361816406,0,0.0,254.0,OPTIMAL,0.002998828887939453,254.0,1.0
2-10-2-weakcorr-4.txt,2,10,0.2,weakly_correlated,4,FEASIBLE,True,0.02202439308166504,10,12,0.02202439308166504,True,0.006514310836791992,1.0,OPTIMAL,0.013033151626586914,0,0.0,216.0,OPTIMAL,0.0040013790130615234,216.0,1.0
2-10-2-weakcorr-5.txt,2,10,0.2,weakly_correlated,5,FEASIBLE,True,0.022037982940673828,10,12,0.022037982940673828,True,0.0065157413482666016,1.0,OPTIMAL,0.013543844223022461,0,0.0,214.0,OPTIMAL,0.0039997100830078125,214.0,1.0
2-10-2-weakcorr-6.txt,2,10,0.2,weakly_correlated,6,FEASIBLE,True,0.02102804183959961,10,12,0.02102804183959961,True,0.006519794464111328,1.0,OPTIMAL,0.012030363082885742,0,0.0,227.0,OPTIMAL,0.0019996166229248047,227.0,1.0
2-10-2-weakcorr-7.txt,2,10,0.2,weakly_correlated,7,FEASIBLE,True,0.02654719352722168,11,14,0.02654719352722168,True,0.006003141403198242,1.0,OPTIMAL,0.01602959632873535,0,0.0,202.0,OPTIMAL,0.004012346267700195,202.0,1.0
2-10-2-weakcorr-8.txt,2,10,0.2,weakly_correlated,8,FEASIBLE,True,0.025038480758666992,12,14,0.025038480758666992,True,0.007517099380493164,1.0,OPTIMAL,0.013399839401245117,0,0.0,257.0,OPTIMAL,0.0037937164306640625,257.0,1.0
2-10-2-weakcorr-9.txt,2,10,0.2,weakly_correlated,9,FEASIBLE,True,0.026064157485961914,12,14,0.026064157485961914,True,0.00600123405456543,1.0,OPTIMAL,0.013002157211303711,0,0.0,214.0,OPTIMAL,0.0030059814453125,214.0,1.0
