seed,n,m,w,u,regular,alpha_init,alpha_star,alpha_ub_verified,alpha_lb_unverified,alpha_lb_verified,trivial_from_heuristic,verified_through_binary_search,n_bisect_iters,tas_time_total
0,5,4,5,8,True,1.0810810810810811,1.0810810810810811,1.0810810810810811,1.080447635135135,1.080447635135135,False,True,7,7.790102243423462
0,5,4,7,11,True,1.054794520547945,1.054794520547945,1.054794520547945,1.0539383561643834,1.0539383561643834,False,True,6,30.58477282524109
0,5,4,8,13,True,1.1063829787234043,1.0149601063829787,1.0149601063829787,1.0141289893617023,1.0141289893617023,False,True,7,31.369420528411865
0,5,4,9,14,True,1.0413223140495869,1.034220041322314,1.034220041322314,1.0335743801652892,1.0335743801652892,False,True,6,45.73509645462036
0,5,4,10,16,True,1.0666666666666667,1.009375,1.009375,1.0088541666666666,1.0088541666666666,False,True,7,90.95016551017761
0,5,4,11,17,True,1.0331491712707181,1.0227900552486189,1.0227900552486189,1.0222720994475138,1.0222720994475138,False,True,6,246.90766501426697
0,5,4,13,20,True,1.0276679841897234,1.0164278656126484,1.0164278656126484,1.0155632411067195,1.0155632411067195,False,True,5,605.2912275791168
0,7,5,11,19,True,1.0184476157326836,1.0126827358162198,1.0126827358162198,1.0121062478245735,1.0,False,False,5,2089.8120143413544
0,7,6,8,11,True,1.0731707317073174,1.0365853658536586,1.0365853658536586,1.0360137195121952,1.0,False,False,7,3629.091197490692
0,7,6,11,15,True,1.0254777070063696,1.0127388535031847,1.0127388535031847,1.0119426751592355,1.0,False,False,5,2470.8418629169464
0,7,6,13,18,True,1.046728971962617,1.020443925233645,1.020443925233645,1.019713785046729,,False,False,6,3877.4975020885468
0,7,6,14,19,True,1.0390625,1.0189208984375,1.0189208984375,1.018310546875,1.0,False,False,6,2953.557338476181
0,8,6,7,11,True,1.054794520547945,1.0316780821917808,1.0316780821917808,1.0308219178082192,1.0,False,False,6,1372.2556557655334
0,8,6,9,14,True,1.0413223140495869,1.0206611570247934,1.0206611570247934,1.0200154958677685,1.0,False,False,6,3111.916953086853
0,8,6,11,17,True,1.0331491712707181,1.0290055248618786,1.0290055248618786,1.0284875690607735,1.0,False,False,6,3277.518115758896
0,8,6,12,19,True,1.0654205607476634,1.0557096962616823,1.0557096962616823,1.0551985981308412,,False,False,7,3295.955231189728
0,8,6,13,20,True,1.0276679841897234,1.0207509881422925,1.0207509881422925,1.0198863636363638,,False,False,5,3539.869494199753
0,8,6,14,22,True,1.054794520547945,1.0205479452054793,1.0205479452054793,1.0196917808219177,1.0,False,False,6,3047.10226893425
0,8,6,15,23,True,1.023738872403561,1.023738872403561,1.023738872403561,1.0229970326409497,,False,False,5,3620.5450201034546
0,9,8,11,14,True,1.0413793103448277,1.0400862068965517,1.0400862068965517,1.0394396551724139,,False,False,6,3719.9334576129913
0,9,8,15,19,True,1.043956043956044,1.043956043956044,1.043956043956044,1.0432692307692308,,False,False,6,4233.0112981796265
0,10,8,12,17,True,1.0258620689655171,1.0258620689655171,1.0258620689655171,1.0250538793103448,,False,False,5,3628.2963247299194
