tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n4_L3W5_s0,layered,tight,asymmetric,4,15,38,3,5,,True,0.0410902500152587,1.0,68.0,OPTIMAL,0.0,68.0,0,8,0.1215841770172119,68.0,0.0788037776947021,68.0,OPTIMAL,68.0,0.08585786819458008,1.0
E_tight_asymmetric_n4_L3W8_s0,layered,tight,asymmetric,4,24,94,3,8,,True,0.1657412052154541,1.0,23.0,OPTIMAL,0.0,23.0,0,8,0.3961412906646728,23.0,0.2503347396850586,23.0,OPTIMAL,23.0,0.2888650894165039,1.0
E_tight_asymmetric_n4_L5W10_s0,layered,tight,asymmetric,4,50,301,5,10,,True,0.1585452556610107,1.0000000000000002,35.0,OPTIMAL,0.0,34.99999999999999,1,12,1.950963258743286,34.99999999999999,0.3654520511627197,35.0,OPTIMAL,34.0,1.3766052722930908,1.0294117647058822
E_tight_asymmetric_n4_L5W3_s0,layered,tight,asymmetric,4,15,28,5,3,,True,0.3082585334777832,1.0,87.0,OPTIMAL,0.0,87.0,0,8,0.4129848480224609,87.0,0.3422577381134033,87.0,OPTIMAL,87.0,0.08900189399719238,1.0
E_tight_asymmetric_n4_L5W5_s0,layered,tight,asymmetric,4,25,73,5,5,,True,0.083686351776123,1.0,92.0,OPTIMAL,0.0,92.0,2,16,0.6394267082214355,92.0,0.1393749713897705,92.0,OPTIMAL,86.0,0.22850632667541504,1.069767441860465
E_tight_asymmetric_n4_L5W8_s0,layered,tight,asymmetric,4,40,188,5,8,,True,0.1671667098999023,1.0,61.0,OPTIMAL,0.0,59.00000000000001,1,16,1.4628615379333496,59.00000000000001,0.4036061763763428,59.0,OPTIMAL,59.0,1.2653796672821045,1.0
E_tight_asymmetric_n4_L8W10_s0,layered,tight,asymmetric,4,80,551,8,10,,True,0.3103530406951904,1.0,59.0,OPTIMAL,0.0,56.0,0,12,14.721312761306764,55.99999999999999,0.7759993076324463,56.0,OPTIMAL,56.0,19.71492075920105,1.0
E_tight_asymmetric_n4_L8W3_s0,layered,tight,asymmetric,4,24,50,8,3,,True,0.106630802154541,1.0,94.0,OPTIMAL,0.0,94.0,0,8,7.895841598510742,94.0,0.1741583347320556,94.0,OPTIMAL,94.0,4.009040117263794,1.0
E_tight_asymmetric_n4_L8W5_s0,layered,tight,asymmetric,4,40,127,8,5,,True,0.2042243480682373,1.0,123.0,OPTIMAL,0.0,105.99999925201575,2,32,47.26747941970825,105.9999990113388,0.3214435577392578,106.0,OPTIMAL,106.0,21.633636236190796,1.0
E_tight_asymmetric_n4_L8W8_s0,layered,tight,asymmetric,4,64,339,8,8,,True,0.1955888271331787,1.0000000000000002,61.0,OPTIMAL,0.0,54.99999959752291,0,24,42.0777587890625,54.99999947677976,0.4200973510742187,55.0,OPTIMAL,55.0,32.21686625480652,1.0
E_tight_asymmetric_n6_L10W10_s0,layered,tight,asymmetric,6,100,705,10,10,,True,0.7464585304260254,1.0000000000000002,62.0,OPTIMAL,0.0,53.99999999999959,5,30,148.08118891716003,54.0,1.5991594791412354,54.0,OPTIMAL,54.0,273.54052543640137,1.0
E_tight_asymmetric_n6_L10W3_s0,layered,tight,asymmetric,6,30,63,10,3,,True,0.2883381843566894,1.0000000000000002,167.0,OPTIMAL,0.0,146.99999999999997,36,168,77.16743326187134,147.0,0.4371201992034912,147.0,OPTIMAL,145.0,61.00845170021057,1.013793103448276
E_tight_asymmetric_n6_L10W5_s0,layered,tight,asymmetric,6,50,165,10,5,,True,0.5667665004730225,1.0000000000000002,150.0,TIME_LIMIT,0.0819773302837604,114.75283371452994,6,36,600.444461107254,125.0,0.8270587921142578,125.0,OPTIMAL,125.0,558.7712335586548,1.0
