tag,graph_type,capacity_level,symmetry,n_players,n_nodes,n_edges,n_layers,n_width,seed,brd_found_pne,brd_time,brd_alpha,initial_pne_cost,gzr_status,gzr_mip_gap,gzr_obj_bound,gzr_cuts,gzr_br_calls,gzr_time,gzr_obj_val,gzr_first_pne_time,best_pne_cost,so_status,so_cost,so_time,pos
E_tight_asymmetric_n4_L3W5_s0,layered,tight,asymmetric,4,15,38,3,5,,True,0.0408926010131835,1.0,68.0,OPTIMAL,0.0,68.0,0,8,0.1288025379180908,68.0,0.0737888813018798,68.0,OPTIMAL,68.0,0.08585786819458008,1.0
E_tight_asymmetric_n4_L3W8_s0,layered,tight,asymmetric,4,24,94,3,8,,True,0.1044366359710693,1.0,23.0,OPTIMAL,0.0,23.0,0,8,0.2973284721374511,23.0,0.1625244617462158,23.0,OPTIMAL,23.0,0.2888650894165039,1.0
E_tight_asymmetric_n4_L5W10_s0,layered,tight,asymmetric,4,50,301,5,10,,True,0.1977438926696777,1.0000000000000002,35.0,OPTIMAL,0.0,34.99999999999999,1,12,1.5960731506347656,34.99999999999999,0.3453991413116455,35.0,OPTIMAL,34.0,1.3766052722930908,1.0294117647058822
E_tight_asymmetric_n4_L5W3_s0,layered,tight,asymmetric,4,15,28,5,3,,True,0.4198954105377197,1.0,87.0,OPTIMAL,0.0,87.0,0,8,0.5365071296691895,87.0,0.4584188461303711,87.0,OPTIMAL,87.0,0.08900189399719238,1.0
E_tight_asymmetric_n4_L5W5_s0,layered,tight,asymmetric,4,25,73,5,5,,True,0.129457950592041,1.0,92.0,OPTIMAL,5.9441459986037843e-08,91.99999453138568,2,16,1.1569366455078125,92.0,0.1794588565826416,92.0,OPTIMAL,86.0,0.22850632667541504,1.069767441860465
E_tight_asymmetric_n4_L5W8_s0,layered,tight,asymmetric,4,40,188,5,8,,True,0.1605277061462402,1.0,61.0,OPTIMAL,0.0,58.99999999999999,0,12,1.0766642093658447,59.00000000000001,0.2861952781677246,59.0,OPTIMAL,59.0,1.2653796672821045,1.0
E_tight_asymmetric_n4_L8W10_s0,layered,tight,asymmetric,4,80,551,8,10,,True,0.3401362895965576,1.0,59.0,OPTIMAL,5.508990115170788e-12,55.99999973880088,2,20,19.890031576156616,55.99999973910938,0.6194653511047363,56.0,OPTIMAL,56.0,19.71492075920105,1.0
E_tight_asymmetric_n4_L8W3_s0,layered,tight,asymmetric,4,24,50,8,3,,True,0.0935494899749755,1.0,94.0,OPTIMAL,0.0,94.0,0,8,5.268457174301148,94.0,0.1716814041137695,94.0,OPTIMAL,94.0,4.009040117263794,1.0
E_tight_asymmetric_n4_L8W5_s0,layered,tight,asymmetric,4,40,127,8,5,,True,0.1978552341461181,1.0,123.0,OPTIMAL,0.0,105.9999991079792,2,24,26.79381489753723,105.99999910799488,0.2926900386810303,106.0,OPTIMAL,106.0,21.633636236190796,1.0
E_tight_asymmetric_n4_L8W8_s0,layered,tight,asymmetric,4,64,339,8,8,,True,0.2390358448028564,1.0000000000000002,61.0,OPTIMAL,0.0,55.0,0,12,19.236491680145264,54.99999999999999,0.4259450435638428,55.0,OPTIMAL,55.0,32.21686625480652,1.0
E_tight_asymmetric_n6_L10W10_s0,layered,tight,asymmetric,6,100,705,10,10,,True,0.9233667850494384,1.0000000000000002,62.0,OPTIMAL,0.0,53.99999999999999,3,42,240.99845623970032,54.0,1.460415601730347,54.0,OPTIMAL,54.0,273.54052543640137,1.0
E_tight_asymmetric_n6_L10W3_s0,layered,tight,asymmetric,6,30,63,10,3,,True,0.3268523216247558,1.0000000000000002,167.0,OPTIMAL,0.0,147.0,16,72,77.86797666549683,147.0,0.5062150955200195,147.0,OPTIMAL,145.0,61.00845170021057,1.013793103448276
E_tight_asymmetric_n6_L10W5_s0,layered,tight,asymmetric,6,50,165,10,5,,True,0.5060460567474365,1.0000000000000002,150.0,OPTIMAL,0.0,125.0,0,24,468.3976449966431,125.0,0.7167534828186035,125.0,OPTIMAL,125.0,558.7712335586548,1.0
E_tight_asymmetric_n6_L10W8_s0,layered,tight,asymmetric,6,80,445,10,8,,True,0.5779497623443604,1.0,88.0,OPTIMAL,0.0,82.99999999999999,0,24,228.3978545665741,83.0,1.0423352718353271,83.0,OPTIMAL,83.0,96.29992175102234,1.0
E_tight_asymmetric_n6_L3W10_s0,layered,tight,asymmetric,6,30,145,3,10,,True,0.179206371307373,1.0,60.0,OPTIMAL,0.0,60.0,0,12,0.5518686771392822,60.0,0.3416996002197265,60.0,OPTIMAL,60.0,0.7244570255279541,1.0
E_tight_asymmetric_n6_L3W3_s0,layered,tight,asymmetric,6,9,12,3,3,,True,0.0693013668060302,1.0,89.0,OPTIMAL,0.0,88.99999999999999,2,18,0.2093946933746338,88.99999999999999,0.1084187030792236,89.0,OPTIMAL,87.0,0.060515403747558594,1.0229885057471264
